,EXECUTION_DATE,team,num,name,min,pts,ass,reb,stl,blk,to,foul,%,2%,3%,3#,3#/,2#,2#/,1#,1#/,EFF
106,2026/01/25,MIA,5,Nikola Jović,PT25M01.00S,23,1,3,1,1,3,0,0.5,0.5,0.5,3,6,3,6,8,11,9.0
107,2026/01/25,MIA,0,Simone Fontecchio,PT23M49.60S,14,2,6,2,0,0,2,0.416666666666667,0.333333333333333,0.444444444444444,4,9,1,3,0,0,19.0
108,2026/01/25,MIA,12,Dru Smith,PT25M32.50S,6,5,10,5,1,0,4,0.2,0.25,0.0,0,2,2,8,2,2,15.0
109,2026/01/25,MIA,15,Myron Gardner,PT10M06.50S,2,4,6,0,2,0,4,0.25,0.333333333333333,0.0,0,1,1,3,0,2,12.0
110,2026/01/25,MIA,16,Keshad Johnson,PT03M08.00S,5,0,0,0,0,1,2,1.0,0.0,1.0,1,1,0,0,2,2,5.0
111,2026/01/25,UTA,19,Ace Bailey,PT28M13.30S,12,2,2,1,2,0,5,0.4,0.6,0.0,0,5,6,10,0,0,-23.0
112,2026/01/25,UTA,5,Cody Williams,PT29M54.00S,5,1,1,1,3,1,2,0.4,0.5,0.0,0,1,2,4,1,2,-26.0
113,2026/01/25,UTA,30,Jusuf Nurkić,PT31M21.00S,17,12,10,1,1,3,5,0.615384615384615,0.583333333333333,1.0,1,1,7,12,0,2,-30.0
114,2026/01/25,UTA,10,Svi Mykhailiuk,PT17M14.00S,8,1,3,1,0,2,1,0.75,0.75,0.0,0,0,3,4,2,2,-15.0
115,2026/01/25,UTA,3,Keyonte George,PT36M10.10S,19,5,2,2,0,2,3,0.31578947368421,0.545454545454545,0.0,0,8,6,11,7,8,-27.0
116,2026/01/25,UTA,8,Isaiah Collier,PT27M54.00S,16,9,6,0,1,2,3,0.6,0.6,0.0,0,0,6,10,4,6,-11.0
117,2026/01/25,UTA,22,Kyle Filipowski,PT15M41.00S,9,3,4,1,0,0,1,0.666666666666666,0.6,1.0,1,1,3,5,0,0,0.0
118,2026/01/25,UTA,2,Kyle Anderson,PT15M04.00S,2,0,1,1,1,1,2,0.5,0.5,0.0,0,0,1,2,0,0,1.0
119,2026/01/25,UTA,28,Brice Sensabaugh,PT23M24.60S,23,1,4,0,0,2,2,0.466666666666667,0.375,0.5714285714285711,4,7,3,8,5,6,-6.0
120,2026/01/25,UTA,13,Walter Clayton Jr.,PT15M04.00S,5,2,1,1,2,1,2,0.333333333333333,0.0,0.5,1,2,0,1,2,2,-18.0
